ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	time	external_gene_name	description	chromosome_name	start_position	end_position
1	ENSDARG00000000018	132.50006720848	-0.36743810877504	0.0954380949284928	-3.85001512289557	0.000118110531985971	0.0332238710132748	8	nrf1	nuclear respiratory factor 1 [Source:ZFIN;Acc:ZDB-GENE-001221-1]	4	15081385	15103696
2	ENSDARG00000000551	19.3151754225636	1.57059135319551	0.184174205952593	8.52774874240419	1.49223212795288e-17	3.98769191552849e-13	8	slc1a4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-566]	13	24429918	24448278
3	ENSDARG00000000567	328.485738674799	-0.253002774518324	0.0709994863045641	-3.56344514146238	0.000366019215044384	0.0678354758708719	8	znf281a	zinc finger protein 281a [Source:ZFIN;Acc:ZDB-GENE-131126-34]	3	38762891	38783951
4	ENSDARG00000001447	47.9690815161458	0.615534660544245	0.121950639856011	5.04740820770612	4.47843817129363e-07	0.000362658494701454	8	mier1b	mesoderm induction early response 1b, transcriptional regulator [Source:ZFIN;Acc:ZDB-GENE-070705-170]	2	5811482	5836116
5	ENSDARG00000001889	128.646609578968	1.17102748903108	0.225124369413841	5.20169136766535	1.97482982453496e-07	0.000175911258003492	8	tuba1a	tubulin, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-090507-4]	23	35708730	35711398
6	ENSDARG00000002230	8.79023470143591	1.12150242275034	0.309579308178913	3.6226659635217	0.000291582260905162	0.0585861109636741	8	sypb	synaptophysin b [Source:ZFIN;Acc:ZDB-GENE-040718-205]	8	49403668	49432061
7	ENSDARG00000002467	41.005302145746	0.704740933571039	0.176383319287951	3.99550783155707	6.45557229449887e-05	0.0224041894059602	8	rdh14b	retinol dehydrogenase 14b [Source:ZFIN;Acc:ZDB-GENE-030131-6605]	20	9421448	9428021
8	ENSDARG00000002787	404.726896895569	0.23248452935594	0.06185771023369	3.75837593208099	0.000171019802192279	0.0415469288544024	8	tle3a	TLE family member 3, transcriptional corepressor a [Source:ZFIN;Acc:ZDB-GENE-990415-86]	18	20225961	20257511
9	ENSDARG00000003061	64.8676537559255	0.532946815710637	0.148233446133205	3.5953209590211	0.000323991887366756	0.0637731823430035	8	cd276	CD276 molecule [Source:ZFIN;Acc:ZDB-GENE-070112-452]	18	50433722	50524042
10	ENSDARG00000003098	349.417146023454	0.224818756911077	0.0653168603492808	3.44197127217785	0.000577491575326286	0.0907782786320255	8	kdm5bb	lysine (K)-specific demethylase 5Bb [Source:ZFIN;Acc:ZDB-GENE-030424-1]	8	28305213	28342487
11	ENSDARG00000003399	80.7476353684626	-0.595620520689996	0.109717518749914	-5.42867289997355	5.67746281037366e-08	6.59647124702675e-05	8	fgf8a	fibroblast growth factor 8a [Source:ZFIN;Acc:ZDB-GENE-990415-72]	13	28495419	28501985
12	ENSDARG00000004754	159.836286550677	-0.369367890752826	0.102512856502224	-3.60313723913073	0.000314399420822069	0.0626992218106578	8	hspa4a	heat shock protein 4a [Source:ZFIN;Acc:ZDB-GENE-040426-2832]	21	43137500	43171249
13	ENSDARG00000005454	219.42181853849	-0.311495020079274	0.0803828150486816	-3.87514445582213	0.000106561465302803	0.0316404670809646	8	tacc3	transforming, acidic coiled-coil containing protein 3 [Source:ZFIN;Acc:ZDB-GENE-050522-327]	13	35880573	35892305
14	ENSDARG00000005840	37.6561746408435	0.652104316640568	0.172157426729071	3.78783726633416	0.000151964325466086	0.038310779900285	8	got2b	glutamic-oxaloacetic transaminase 2b, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-030131-7917]	7	51774502	51793881
15	ENSDARG00000006527	1041.89811109417	-0.17671570231676	0.046418076053597	-3.80704495620873	0.0001406371875141	0.0364878404071775	8	brd3a	bromodomain containing 3a [Source:ZFIN;Acc:ZDB-GENE-030131-6141]	21	18266319	18275337
16	ENSDARG00000007377	1780.18733915385	0.754037445389465	0.211690931834865	3.56197329216573	0.000368077835620119	0.0678354758708719	8	odc1	ornithine decarboxylase 1 [Source:ZFIN;Acc:ZDB-GENE-010816-1]	17	51743908	51760243
17	ENSDARG00000008200	27.9178389797442	0.62195500103037	0.159892585808011	3.88983014995564	0.000100314408792003	0.0308126660476861	8	ugp2b	UDP-glucose pyrophosphorylase 2b [Source:ZFIN;Acc:ZDB-GENE-030131-6352]	17	24445818	24474703
18	ENSDARG00000009194	27.7779201267764	1.1187901553841	0.320907025283269	3.48633737262851	0.000489683018737964	0.0817862456858413	8	col16a1	collagen, type XVI, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-060503-351]	19	38473758	38611814
19	ENSDARG00000010276	35.1745857489208	-0.525049759476962	0.134098487493277	-3.91540403841828	9.02529372221031e-05	0.0289695603092328	8	ptgs2b	prostaglandin-endoperoxide synthase 2b [Source:ZFIN;Acc:ZDB-GENE-041014-323]	20	34121818	34127415
20	ENSDARG00000010571	493.945998977505	-0.23618419124662	0.0536254865809195	-4.40432723888153	1.06112664456916e-05	0.00545317063900416	8	ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:ZFIN;Acc:ZDB-GENE-041111-259]	24	17345521	17364456
21	ENSDARG00000011122	43.0179059423405	0.982095542150809	0.172019561921718	5.70920848291509	1.13502786699578e-08	1.89570935560801e-05	8	pptc7a	PTC7 protein phosphatase homolog a [Source:ZFIN;Acc:ZDB-GENE-041114-74]	8	4368534	4402181
22	ENSDARG00000011247	129.319763233297	-0.291709744447956	0.0749452947974046	-3.8923023151289	9.92974021284637e-05	0.0308126660476861	8	rnpc3	RNA-binding region (RNP1, RRM) containing 3 [Source:ZFIN;Acc:ZDB-GENE-060312-35]	24	28934875	28968355
23	ENSDARG00000012138	9.40976332912506	0.920420244665135	0.259618746393317	3.5452765158596	0.000392201413070284	0.0703409286005182	8	sgce	sarcoglycan, epsilon [Source:ZFIN;Acc:ZDB-GENE-030724-1]	19	41038668	41069701
24	ENSDARG00000012649	21.5109593813649	1.20166497057416	0.209376285094649	5.73926015561381	9.5091049092453e-09	1.81508436064116e-05	8	SMAD4 (1 of many)	expressed sequence CR929477 [Source:ZFIN;Acc:ZDB-GENE-141211-39]	5	6875272	6922168
25	ENSDARG00000012788	244.582161749913	-0.31727678404565	0.0873983181001365	-3.63023901309097	0.000283158891008035	0.0573246594273312	8	foxa3	forkhead box A3 [Source:ZFIN;Acc:ZDB-GENE-980526-423]	18	46350574	46354269
26	ENSDARG00000012981	108.658942935933	-0.418078559204632	0.105347206582087	-3.96857755197204	7.23029277034618e-05	0.0245049879328169	8	osbpl7	oxysterol binding protein-like 7 [Source:ZFIN;Acc:ZDB-GENE-041010-212]	12	28773589	28794957
27	ENSDARG00000013302	29.9564438604053	0.799420602470079	0.170713131357573	4.68283017312607	2.8294092218877e-06	0.00193872570862834	8	gpx8	glutathione peroxidase 8 (putative) [Source:ZFIN;Acc:ZDB-GENE-040426-965]	8	40177361	40183197
28	ENSDARG00000013926	26.3216708250502	1.97549117337644	0.291896689935241	6.76777518037193	1.30777756880127e-11	5.8246233285127e-08	8	slc16a9a	solute carrier family 16, member 9a [Source:ZFIN;Acc:ZDB-GENE-040426-1364]	17	20653773	20666616
