ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	time	external_gene_name	description	chromosome_name	start_position	end_position
1	ENSDARG00000000551	43.648035663181	1.30087178812262	0.189983750359173	6.84727923131986	7.52677169649531e-12	3.45679534781041e-08	10	slc1a4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-566]	13	24429918	24448278
2	ENSDARG00000001734	54.0938087911619	-0.369991589028417	0.113494277458771	-3.26000215440664	0.00111411367528587	0.0954350022331019	10	fkbp8	FKBP prolyl isomerase 8 [Source:ZFIN;Acc:ZDB-GENE-040426-1849]	22	20925849	20950448
3	ENSDARG00000001889	270.911127069171	1.41556027332481	0.282782392870865	5.0058288953345	5.56221503119502e-07	0.000437921135427457	10	tuba1a	tubulin, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-090507-4]	23	35708730	35711398
4	ENSDARG00000002210	17.5805183276476	0.90016716189811	0.263234370455005	3.41964144097959	0.000627037254420988	0.0680261361528534	10	stk25a	serine/threonine kinase 25a [Source:ZFIN;Acc:ZDB-GENE-041010-92]	6	27041594	27057702
5	ENSDARG00000002285	211.736277159233	0.868106991009576	0.172522423337593	5.03185020367386	4.85768767773824e-07	0.00041904173168777	10	mcoln1a	mucolipin 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2704]	1	45671687	45700574
6	ENSDARG00000002347	202.435840837172	-0.403545604418146	0.083582429676441	-4.82811526274513	1.37831313277335e-06	0.000904304683016722	10	cyp11a1	cytochrome P450, family 11, subfamily A, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-010306-1]	25	22319940	22335283
7	ENSDARG00000002790	200.92139517107	0.345017127546809	0.103476055450857	3.33427019462166	0.000855235371388089	0.0815462487680629	10	ap2m1a	adaptor related protein complex 2 subunit mu 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9784]	2	9789811	9818711
8	ENSDARG00000003244	55.6250366093761	0.854880349709569	0.139681944181899	6.1201922318343	9.34625363893801e-10	2.34132150249614e-06	10	gbp3	guanylate binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-070912-176]	2	43894368	43918874
9	ENSDARG00000004754	205.794179295295	-0.535755729194581	0.10356533042495	-5.17311852331532	2.30218874735514e-07	0.000230151741886934	10	hspa4a	heat shock protein 4a [Source:ZFIN;Acc:ZDB-GENE-040426-2832]	21	43137500	43171249
10	ENSDARG00000004870	200.66790136838	0.892414987805516	0.242299793142215	3.68310255750703	0.000230412405192094	0.0378227004332116	10	psen1	presenilin 1 [Source:ZFIN;Acc:ZDB-GENE-991119-4]	17	51206225	51224800
11	ENSDARG00000005454	288.688620730629	-0.332228149412131	0.0762871453775736	-4.35496895011354	1.33085781061201e-05	0.00539310556312127	10	tacc3	transforming, acidic coiled-coil containing protein 3 [Source:ZFIN;Acc:ZDB-GENE-050522-327]	13	35880573	35892305
12	ENSDARG00000005840	66.5277278851735	1.0506235492674	0.206644347410967	5.08421141168676	3.69156579690635e-07	0.000339082623665171	10	got2b	glutamic-oxaloacetic transaminase 2b, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-030131-7917]	7	51774502	51793881
13	ENSDARG00000006031	130.885872862966	1.09293258836856	0.1671394748119	6.53904524708217	6.19127938257347e-11	1.89563216295772e-07	10	abat	4-aminobutyrate aminotransferase [Source:ZFIN;Acc:ZDB-GENE-031006-4]	3	27832500	27880229
14	ENSDARG00000006124	696.597154278457	-0.306075178853991	0.0631688193342159	-4.84535221775474	1.26387259063151e-06	0.000870681827686048	10	kdm5c	lysine (K)-specific demethylase 5C [Source:ZFIN;Acc:ZDB-GENE-060810-94]	8	36983559	37026607
15	ENSDARG00000006169	43.5892118452199	0.676038400620513	0.187448319314079	3.60653220628656	0.000310316359282326	0.0443061015356673	10	lrrk2	leucine-rich repeat kinase 2 [Source:ZFIN;Acc:ZDB-GENE-071218-6]	25	35603107	35664817
16	ENSDARG00000006527	802.195153822893	-0.26201081260145	0.0696364351136501	-3.7625534990962	0.000168187315355158	0.0301700694451428	10	brd3a	bromodomain containing 3a [Source:ZFIN;Acc:ZDB-GENE-030131-6141]	21	18266319	18275337
